Kalimat,Label,,
Ada kebakaran di gedung sebelah! Panggil pemadam kebakaran!,Pemadam Kebakaran,,
Kami membutuhkan bantuan pemadam kebakaran secepatnya.,Pemadam Kebakaran,,
"Dalam situasi darurat, hubungi pemadam kebakaran secepat mungkin.",Pemadam Kebakaran,,
Dibutuhkan bantuan dari pemadam kebakaran untuk memadamkan api.,Pemadam Kebakaran,,
"Kebakaran terjadi di kompleks apartemen, segera hubungi pemadam kebakaran!",Pemadam Kebakaran,,
Kebutuhan akan bantuan pemadam kebakaran sangat mendesak.,Pemadam Kebakaran,,
"Panggil pemadam kebakaran sekarang, ada kebakaran di gedung.",Pemadam Kebakaran,,
Diperlukan bantuan dari pemadam kebakaran untuk mengatasi kebakaran besar.,Pemadam Kebakaran,,
Ada kebakaran di apartemen sebelah! Hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Ada kebakaran di gedung sekolah! Panggil pemadam kebakaran!,Pemadam Kebakaran,,
Dibutuhkan bantuan pemadam kebakaran untuk memadamkan api di pabrik.,Pemadam Kebakaran,,
Ada kebakaran di kantor pusat! Panggil pemadam kebakaran!,Pemadam Kebakaran,,
Terjadi kebakaran di toko elektronik! Panggil pemadam kebakaran!,Pemadam Kebakaran,,
"Ada kebakaran di apartemen, segera panggil pemadam kebakaran!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung pemerintah, panggil pemadam kebakaran!",Pemadam Kebakaran,,
"Ada kebakaran di kompleks apartemen, segera hubungi pemadam kebakaran!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, hubungi pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Ada kejadian kebakaran di gudang, segera panggil pemadam kebakaran!",Pemadam Kebakaran,,
"Terjadi kebakaran di restoran, panggil pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
